location
"(43.0078482, -78.63723993)"
"(42.90685558, -78.90508533)"
"(43.20715237, -79.04707342)"
"(42.69608631, -78.73659432)"
"(43.186784, -78.649862)"
"(42.78939648, -78.8313514)"
"(42.982136, -78.724842)"
"(42.95082957, -78.67710024)"
"(42.895059, -78.892983)"
"(43.021256, -78.880173)"
"(42.95853274, -78.84668022)"
"(42.908066, -78.77429)"
"(42.87152525, -78.79071627)"
"(43.17339749, -78.6888966)"
"(42.65852, -78.91936)"
"(42.759403, -78.746041)"
"(42.87010241, -78.78062278)"
"(43.02972463, -78.82218227)"
"(42.92196, -78.89432)"
"(43.24354979, -78.52640301)"
"(42.86118, -78.517124)"
"(42.877232, -78.870386)"
"(42.96810048, -78.80932912)"
"(43.04586882, -78.75205591)"
"(42.99610913, -78.70568857)"
"(42.93325, -78.785307)"
"(42.55510353, -78.76222819)"
"(42.806743, -78.605906)"
"(43.10832944, -78.98908407)"
"(42.974998, -78.661079)"
"(43.07906623, -78.95819575)"
"(43.16919565, -78.69534731)"
"(43.1601387, -78.67807639)"
"(42.8963, -78.885798)"
"(43.11821452, -79.01093066)"
"(42.78300392, -78.76699448)"
"(42.945239, -78.763416)"
"(43.19678208, -78.56727183)"
"(43.13298091, -78.72502327)"
"(42.953093, -78.788452)"
"(42.991166, -78.922541)"
"(43.08861423, -79.04033572)"
"(42.94704635, -78.79119873)"
"(42.899916, -78.477809)"
"(42.89878835, -78.88981283)"
"(42.99443277, -78.85267228)"
"(42.867782, -78.760625)"
"(42.92044136, -78.87329578)"
"(42.50875805, -78.67039472)"
